mean_photon_number,p_correct,p_cross,p_same,hber_full_intercept,qber_full_intercept,max_intercept_fraction,qber_at_max_intercept
0.6199999999999999,0.7933267060449375,0.17890896256808816,0.02776433138697428,0.20667329395506245,0.11721881267101836,0.9384159205632087,0.11
0.6299999999999999,0.7974340831638785,0.17555036465427762,0.02701555218184382,0.20256591683612143,0.11479073450898263,0.9582654947764295,0.11
0.6399999999999999,0.8014719831918125,0.17224273068402446,0.02628528612416311,0.19852801680818757,0.11240665146617534,0.9785897770747175,0.11
0.6499999999999999,0.8054413301232413,0.1689856257288375,0.025573044147921314,0.1945586698767588,0.11006585701234006,0.9994016581151712,0.11
0.6599999999999999,0.809343033510003,0.16577861076779035,0.02487835572220649,0.19065696648999683,0.10776766110610167,1.0,0.10776766110610167
0.6699999999999999,0.8131779893138824,0.16262124288931165,0.024200767796805838,0.18682201068611748,0.10551138924146167,1.0,0.10551138924146167
0.6799999999999999,0.8169470806871117,0.15951307549064278,0.023539843822245405,0.1830529193128882,0.10329638156756679,1.0,0.10329638156756679
0.69,0.8206511786868772,0.15645365847495937,0.02289516283816336,0.17934882131312274,0.10112199207564304,1.0,0.10112199207564304
0.7,0.8242911429293577,0.15344253844615316,0.022266318624489193,0.17570885707064235,0.09898758784756577,1.0,0.09898758784756577
0.71,0.827867822188312,0.15047925890127128,0.02165291891041672,0.172132177811688,0.09689254836105236,1.0,0.09689254836105236
0.72,0.8313820549427687,0.14756336042060947,0.021054584636621812,0.16861794505723127,0.09483626484692655,1.0,0.09483626484692655
0.73,0.8348346698779554,0.14469438085545763,0.020470949266586977,0.1651653301220446,0.0928181396943158,1.0,0.0928181396943158
0.74,0.838226486343238,0.141871855513495,0.01990165814326704,0.161773513656762,0.09083758590001453,1.0,0.09083758590001453
0.75,0.8415583147705035,0.13909531734183403,0.01934636788766251,0.15844168522949653,0.08889402655857953,1.0,0.08889402655857953
0.7599999999999999,0.8448309570561239,0.13636429710771011,0.01880474583616614,0.15516904294387626,0.08698689439002119,1.0,0.08698689439002119
0.7699999999999999,0.8480452069093651,0.13367832357681614,0.01827646951381884,0.15195479309063498,0.08511563130222691,1.0,0.08511563130222691
0.7799999999999999,0.851201850169865,0.13103692368928113,0.017761226140853653,0.14879814983013478,0.08327968798549422,1.0,0.08327968798549422
0.7899999999999999,0.8543016650965816,0.12843962273329143,0.017258712170127106,0.14569833490341855,0.08147852353677282,1.0,0.08147852353677282
0.7999999999999999,0.8573454226304136,0.12588594451635138,0.016768632853235026,0.1426545773695864,0.07971160511141072,1.0,0.07971160511141072
0.8099999999999998,0.8603338866325222,0.12337541153418641,0.016290701833291326,0.13966611336747772,0.07797840760038453,1.0,0.07797840760038453
0.8199999999999998,0.8632678141002071,0.12090754513728261,0.015824640762510177,0.13673218589979277,0.07627841333115148,1.0,0.07627841333115148
